experiment_id,timestamp,scenario_name,output_dir,log_file,population,initial_infected,total_infections,peak_active_cases,attack_rate,case_fatality_rate,average_rt,secondary_infections,total_household_infections,total_community_infections,total_home_infections,total_school_infections,total_work_infections,total_other_infections,total_quarantined_agents,total_mask_protected_contacts,household_infection_share,community_infection_share,home_infection_share,school_infection_share,work_infection_share,other_infection_share,household_share_sum,location_share_sum,detection_rate,quarantine_rate,undetected_infections,undetected_rate,asymptomatic_rate_observed,child_vaccination_coverage,adult_vaccination_coverage,senior_vaccination_coverage,child_attack_rate,adult_attack_rate,senior_attack_rate,child_death_rate,adult_death_rate,senior_death_rate,total_vaccinations,vaccination_coverage,breakthrough_infection_rate,vaccinated_infection_rate,unvaccinated_infection_rate,observed_vaccine_effectiveness,lockdown_duration,school_closure_duration,mask_compliance_duration,testing_rate_duration,quarantine_compliance_duration,work_closure_duration,senior_mobility_reduction_duration,child_mobility_reduction_duration,vaccination_campaign_duration,batch_id,scenario_index,scenario_run,random_seed,scenario_description
11,2026-06-21_19-30-33,No interventions,outputs/experiment_011_2026-06-21_19-30-33,outputs/experiment_011_2026-06-21_19-30-33/logs/simulation.log,5000,18,1357,494,0.2714,0.005158437730287398,0.011585303094727202,1339,92,1247,307,989,43,0,0,0,0.06870799103808813,0.9312920089619119,0.2292755787901419,0.7386109036594474,0.03211351755041075,0.0,1.0,1.0,0.0,0.0,1357,1.0,0.2918201915991157,0.007952286282306162,0.34775374376039936,0.3367037411526795,0.9880715705765407,0.07820299500831947,0.11122345803842265,0.0,0.0,0.007077856420626896,1858,0.3716,0.25403659849300325,0.25403659849300325,0.2816677275620624,0.09809831359885168,0,0,0,0,0,0,0,0,0,batch_2026-06-21_19-27-57,1,4,45,"No masks, no quarantine, no testing, and no adaptive restrictions."
12,2026-06-21_19-31-45,No interventions,outputs/experiment_012_2026-06-21_19-31-45,outputs/experiment_012_2026-06-21_19-31-45/logs/simulation.log,5000,18,1312,538,0.2624,0.007621951219512195,0.011513044429864418,1294,88,1206,259,984,51,0,0,0,0.06800618238021638,0.9319938176197836,0.20015455950540958,0.7604327666151468,0.03941267387944358,0.0,1.0,1.0,0.0,0.0,1312,1.0,0.2850609756097561,0.011088709677419355,0.35536366655596147,0.354062186559679,0.9838709677419355,0.07539023580205911,0.09127382146439318,0.0,0.0,0.010030090270812437,1905,0.381,0.247244094488189,0.247244094488189,0.27172859450726977,0.090106453696855,0,0,0,0,0,0,0,0,0,batch_2026-06-21_19-27-57,1,5,46,"No masks, no quarantine, no testing, and no adaptive restrictions."
13,2026-06-21_19-33-00,Masks only,outputs/experiment_013_2026-06-21_19-33-00,outputs/experiment_013_2026-06-21_19-33-00/logs/simulation.log,5000,18,1290,446,0.258,0.006201550387596899,0.011903026679161134,1272,91,1181,268,960,44,0,0,906725,0.07154088050314465,0.9284591194968553,0.21069182389937108,0.7547169811320755,0.03459119496855346,0.0,1.0,1.0000000000000002,0.0,0.0,1290,1.0,0.3,0.02112676056338028,0.36265178864456843,0.3618352450469239,0.9728370221327968,0.06695109944207417,0.10531803962460896,0.0,0.0,0.008342022940563087,1901,0.3802,0.22514466070489217,0.22514466070489217,0.2781542433042917,0.19057621400874614,0,0,0,0,0,0,0,0,0,batch_2026-06-21_19-27-57,2,1,47,"Masks are enabled, but other major interventions are disabled."
14,2026-06-21_19-34-03,Masks only,outputs/experiment_014_2026-06-21_19-34-03,outputs/experiment_014_2026-06-21_19-34-03/logs/simulation.log,5000,18,1262,600,0.2524,0.002377179080824089,0.012281503228637141,1244,74,1170,254,946,44,0,0,871020,0.0594855305466238,0.9405144694533762,0.20418006430868169,0.7604501607717041,0.03536977491961415,0.0,1.0,0.9999999999999999,0.0,0.0,1262,1.0,0.3161648177496038,0.011305241521068859,0.3685446009389671,0.32344497607655504,0.9804727646454265,0.06773977196512408,0.08421052631578947,0.0,0.0,0.0028708133971291866,1854,0.3708,0.21898597626752966,0.21898597626752966,0.27209154481881753,0.19517537226910242,0,0,0,0,0,0,0,0,0,batch_2026-06-21_19-27-57,2,2,48,"Masks are enabled, but other major interventions are disabled."
15,2026-06-21_19-34-57,Masks only,outputs/experiment_015_2026-06-21_19-34-57,outputs/experiment_015_2026-06-21_19-34-57/logs/simulation.log,5000,18,1258,480,0.2516,0.000794912559618442,0.011194932985853752,1240,76,1164,250,958,32,0,0,867774,0.06129032258064516,0.9387096774193548,0.20161290322580644,0.7725806451612903,0.025806451612903226,0.0,1.0,0.9999999999999999,0.0,0.0,1258,1.0,0.3004769475357711,0.023373983739837397,0.3597240473061761,0.36522633744855965,0.9715447154471545,0.06734559789750329,0.08127572016460906,0.0,0.0,0.00102880658436214,1902,0.3804,0.22555205047318613,0.22555205047318613,0.26759199483537766,0.1571046412956204,0,0,0,0,0,0,0,0,0,batch_2026-06-21_19-27-57,2,3,49,"Masks are enabled, but other major interventions are disabled."
16,2026-06-21_19-36-02,Masks only,outputs/experiment_016_2026-06-21_19-36-02,outputs/experiment_016_2026-06-21_19-36-02/logs/simulation.log,5000,18,1248,460,0.2496,0.005608974358974359,0.01112098841816166,1230,81,1149,272,926,32,0,0,774980,0.06585365853658537,0.9341463414634147,0.22113821138211381,0.7528455284552845,0.026016260162601626,0.0,1.0,0.9999999999999999,0.0,0.0,1248,1.0,0.29246794871794873,0.011714589989350373,0.36626584335391615,0.3252032520325203,0.9850905218317358,0.06857328566785831,0.09552845528455285,0.0,0.0,0.007113821138211382,1849,0.3698,0.2114656571119524,0.2114656571119524,0.27197715011107587,0.2224874147494026,0,0,0,0,0,0,0,0,0,batch_2026-06-21_19-27-57,2,4,50,"Masks are enabled, but other major interventions are disabled."
17,2026-06-21_19-37-22,Masks only,outputs/experiment_017_2026-06-21_19-37-22,outputs/experiment_017_2026-06-21_19-37-22/logs/simulation.log,5000,18,1247,555,0.2494,0.0024057738572574178,0.012879710492334504,1229,77,1152,241,953,35,0,0,852241,0.06265256305939788,0.9373474369406021,0.19609438567941415,0.7754271765663141,0.028478437754271765,0.0,1.0,1.0,0.0,0.0,1247,1.0,0.3103448275862069,0.017507723995880537,0.376198347107438,0.38247011952191234,0.9783728115345005,0.06578512396694215,0.0796812749003984,0.0,0.0,0.00298804780876494,1939,0.3878,0.20629190304280556,0.20629190304280556,0.27670695851029076,0.25447518864931784,0,0,0,0,0,0,0,0,0,batch_2026-06-21_19-27-57,2,5,51,"Masks are enabled, but other major interventions are disabled."
18,2026-06-21_19-54-31,High mask compliance,outputs/experiment_018_2026-06-21_19-54-31,outputs/experiment_018_2026-06-21_19-54-31/logs/simulation.log,5000,18,194,114,0.0388,0.015463917525773196,0.009675114914865456,176,14,162,66,104,6,0,268,175544,0.07954545454545454,0.9204545454545454,0.375,0.5909090909090909,0.03409090909090909,0.0,1.0,1.0,0.10824742268041238,0.07216494845360824,173,0.8917525773195877,0.23195876288659795,0.3619512195121951,0.37757133377571334,0.39438085327783556,0.11707317073170732,0.012939615129396152,0.01768990634755463,0.0,0.00033178500331785003,0.002081165452653486,1921,0.3842,0.01717855283706403,0.01717855283706403,0.05228970444949659,0.6714735143768935,0,281,0,0,0,0,0,281,0,batch_2026-06-21_19-54-31,1,1,42,High mask compliance and stronger mask protection.
19,2026-06-21_19-54-56,High mask compliance,outputs/experiment_019_2026-06-21_19-54-56,outputs/experiment_019_2026-06-21_19-54-56/logs/simulation.log,5000,18,196,111,0.0392,0.00510204081632653,0.008728879987115941,178,15,163,64,107,7,0,130,171038,0.08426966292134831,0.9157303370786517,0.3595505617977528,0.601123595505618,0.03932584269662921,0.0,1.0,1.0,0.0663265306122449,0.05102040816326531,183,0.9336734693877551,0.2602040816326531,0.3428011753183154,0.364604125083167,0.3545734840698869,0.11263467189030363,0.014970059880239521,0.018499486125385406,0.0,0.0,0.0010277492291880781,1831,0.3662,0.02184598580010923,0.02184598580010923,0.049226885452824234,0.5562184038426529,0,267,0,0,0,0,0,267,0,batch_2026-06-21_19-54-31,1,2,43,High mask compliance and stronger mask protection.
20,2026-06-21_19-55-31,High mask compliance,outputs/experiment_020_2026-06-21_19-55-31,outputs/experiment_020_2026-06-21_19-55-31/logs/simulation.log,5000,18,580,113,0.116,0.005172413793103448,0.012167841718881852,562,29,533,150,404,8,0,1133,828464,0.051601423487544484,0.9483985765124555,0.2669039145907473,0.7188612099644128,0.014234875444839857,0.0,1.0,1.0,0.10689655172413794,0.08448275862068966,518,0.8931034482758621,0.31896551724137934,0.2593340060544904,0.3587962962962963,0.38071065989847713,0.4339051463168517,0.031084656084656083,0.03857868020304569,0.0,0.0,0.003045685279187817,1869,0.3738,0.08132691278758694,0.08132691278758694,0.13669754072181411,0.4050594300515544,0,235,0,0,0,0,0,235,0,batch_2026-06-21_19-54-31,1,3,44,High mask compliance and stronger mask protection.
